,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01008817,455,455,-,-,455,425,2,28,3,5,24,419,3,1,-
S01008818,381,381,-,-,381,371,4,6,13,24,73,262,9,-,-
S01008819,385,385,-,-,385,368,4,13,7,12,21,318,26,1,-
S01008820,639,638,1,-,640,616,3,21,8,8,36,556,23,8,1
S01008821,278,278,-,-,278,271,1,6,7,25,117,99,30,-,-
S01008822,291,290,1,-,292,286,3,3,13,33,129,78,38,1,-
S01008823,280,279,-,1,282,269,9,4,13,36,87,127,19,-,-
S01008824,520,520,-,-,520,510,7,3,10,49,61,387,11,2,-
S01008825,303,302,-,1,305,296,4,5,10,48,33,193,20,1,-
S01008826,395,395,-,-,395,378,9,8,16,17,15,317,29,1,-
S01008827,281,281,-,-,281,273,2,6,22,68,97,45,49,-,-
S01008828,458,458,-,-,458,439,6,13,52,83,85,227,8,3,-
S01008829,304,304,-,-,304,297,-,7,37,105,12,132,17,1,-
S01008830,343,343,-,-,343,334,3,6,6,7,89,231,9,1,-
S01008831,365,365,-,-,365,359,3,3,46,38,132,112,37,-,-
S01008832,363,363,-,-,363,350,9,4,41,17,31,245,29,-,-
S01008833,543,541,1,1,546,526,1,19,15,30,42,401,58,-,-
S01008834,528,527,1,-,529,519,3,7,11,66,122,239,91,-,-
S01008835,415,415,-,-,415,407,2,6,34,48,53,278,2,-,-
S01008836,421,421,-,-,421,413,2,6,3,8,12,393,3,2,-
S01008837,645,645,-,-,645,630,6,9,-,4,20,617,4,-,-
S01008838,644,644,-,-,644,606,6,32,4,13,88,525,12,2,-
S01008839,573,573,-,-,573,549,6,18,4,16,103,398,50,2,-
S01008840,528,528,-,-,528,510,5,13,4,30,133,356,4,1,-
S01008841,316,316,-,-,316,291,1,24,3,14,36,253,6,3,1
S01008842,443,443,-,-,443,433,-,10,15,14,36,371,4,3,-
S01008843,491,491,-,-,491,464,4,23,-,4,22,456,5,4,-
S01008844,380,380,-,-,380,355,8,17,2,-,15,360,1,2,-
S01008845,498,498,-,-,498,420,54,24,6,5,16,446,25,-,-
S01008846,406,406,-,-,406,386,17,3,4,4,41,322,35,-,-
S01008847,295,295,-,-,295,263,15,17,2,8,43,190,52,-,-
S01008848,395,395,-,-,395,384,6,5,4,8,34,320,28,1,-
S01008849,471,471,-,-,471,396,47,28,1,3,30,327,98,12,-
S01008850,441,441,-,-,441,401,21,19,5,6,44,287,97,2,-
S01008851,692,691,1,-,693,634,38,21,3,9,36,559,83,3,-
S01008852,566,565,1,-,567,503,43,21,6,11,64,303,178,5,-
S01008853,371,371,-,-,371,352,11,8,3,3,14,313,37,1,-
S01008854,514,513,1,-,515,483,8,24,6,4,22,408,73,2,-
S01008855,675,675,-,-,675,620,13,42,5,7,26,604,31,2,-
S01008856,311,311,-,-,311,296,9,6,3,-,9,295,4,-,-
S01008857,463,463,-,-,463,434,7,22,2,5,95,351,10,-,-
S01008858,361,361,-,-,361,328,15,18,4,6,108,215,28,-,-
S01008859,760,760,-,-,760,712,17,31,3,8,15,699,29,6,-
S01008860,540,540,-,-,540,500,16,24,2,9,26,467,31,5,-
S01008861,394,393,1,-,395,349,17,29,4,4,90,124,173,-,-
S01008862,585,585,-,-,585,561,7,17,2,7,77,438,60,1,-
S01008863,412,412,-,-,412,392,9,11,2,8,66,323,10,3,-
S01008864,443,443,-,-,443,410,9,24,11,6,30,383,5,8,-
S01008865,470,470,-,-,470,455,6,9,-,4,9,452,4,1,-
S01008866,481,481,-,-,481,467,3,11,2,1,22,415,40,1,-
S01008867,461,461,-,-,461,421,18,22,3,7,28,228,192,3,-
S01008868,478,478,-,-,478,391,45,42,6,3,29,340,56,44,-
S01008869,660,660,-,-,660,615,28,17,8,9,40,399,199,5,-
S01008870,465,465,-,-,465,426,23,16,21,12,88,283,59,2,-
S01008871,554,554,-,-,554,503,11,40,3,6,28,276,236,5,-
S01008872,434,434,-,-,434,401,4,29,6,7,36,220,161,4,-
S01008873,363,363,-,-,363,334,2,27,44,52,58,155,54,-,-
S01008874,550,550,-,-,550,514,11,25,7,26,131,378,7,1,-
S01008875,522,522,-,-,522,502,2,18,6,6,25,478,6,1,-
S01008876,305,305,-,-,305,291,-,14,36,49,96,110,14,-,-
S01008877,246,246,-,-,246,243,-,3,21,30,66,126,3,-,-
S01008878,470,470,-,-,470,459,-,11,69,48,60,292,1,-,-
S01008879,416,416,-,-,416,411,-,5,8,63,84,255,6,-,-
S01008880,294,294,-,-,294,291,1,2,18,20,132,122,2,-,-
S01008881,285,285,-,-,285,264,4,17,79,63,13,102,26,2,-
S01008882,416,416,-,-,416,401,3,12,23,43,201,48,101,-,-
S01008883,388,388,-,-,388,362,10,16,111,76,36,111,54,-,-
S01008884,325,325,-,-,325,316,6,3,180,25,34,85,1,-,-
S01008885,348,348,-,-,348,345,1,2,231,95,2,17,3,-,-
S01008886,464,464,-,-,464,425,7,32,30,37,64,332,1,-,-
S01008887,366,366,-,-,366,358,1,7,45,145,29,147,-,-,-
S01008888,386,386,-,-,386,373,8,5,7,9,31,335,4,-,-
S01008889,270,270,-,-,270,267,1,2,47,44,41,137,1,-,-
S01008890,312,312,-,-,312,308,-,4,104,147,34,27,-,-,-
S01008891,339,339,-,-,339,329,2,8,67,148,98,20,6,-,-
S01008892,561,561,-,-,561,533,6,22,49,76,34,391,10,1,-
S01008893,357,357,-,-,357,353,-,4,64,159,81,44,6,3,-
S01008894,341,341,-,-,341,337,-,4,176,113,25,13,11,3,-
S01008895,311,311,-,-,311,301,2,8,231,51,4,20,5,-,-
S01008896,213,213,-,-,213,208,2,3,110,13,33,55,2,-,-
S01008897,309,309,-,-,309,304,2,3,131,39,41,96,2,-,-
S01008898,335,335,-,-,335,331,1,3,226,79,16,12,2,-,-
S01008899,393,393,-,-,393,389,-,4,5,62,59,266,1,-,-
S01008900,419,419,-,-,419,415,-,4,12,109,93,203,2,-,-
S01008901,378,378,-,-,378,374,1,3,43,65,66,202,2,-,-
S01008902,514,514,-,-,514,485,2,27,18,30,92,373,1,-,-
S01008903,475,475,-,-,475,463,-,12,12,129,85,248,-,1,-
S01008904,440,439,1,-,441,431,-,10,6,15,25,387,8,-,-
S01008905,515,515,-,-,515,510,-,5,7,7,30,469,2,-,-
S01008906,390,388,2,-,392,386,-,6,7,23,30,324,7,1,-
S01008907,254,254,-,-,254,249,1,4,9,42,41,157,3,2,-
S01008908,435,434,-,1,437,421,1,15,6,27,30,369,5,-,-
S01008909,358,358,-,-,358,347,9,2,3,34,49,268,2,2,-
S01008910,212,212,-,-,212,211,-,1,1,27,19,163,2,-,-
S01008911,449,449,-,-,449,432,3,14,2,3,16,427,1,-,-
S01008912,341,341,-,-,341,333,1,7,16,79,92,154,-,-,-
S01008913,273,273,-,-,273,272,-,1,3,31,84,153,1,1,-
S01008914,409,409,-,-,409,398,5,6,20,146,41,200,-,2,-
S01008915,238,238,-,-,238,236,2,-,12,70,54,97,5,-,-
S01008916,600,600,-,-,600,593,-,7,15,32,19,527,6,1,-
S01008917,386,386,-,-,386,379,-,7,3,12,12,357,1,1,-
S01008918,297,297,-,-,297,293,-,4,2,4,5,281,4,-,1
S01008919,267,266,1,-,268,264,-,4,2,2,4,256,4,-,-
S01008920,588,587,-,1,603,586,11,6,6,8,55,515,19,-,-
S01008921,383,382,1,-,384,375,-,9,4,8,17,348,5,2,-
S01008922,414,414,-,-,414,400,6,8,12,41,31,326,4,-,-
S01008923,403,403,-,-,403,394,-,9,1,24,14,359,2,3,-
S01008924,372,372,-,-,372,372,-,-,11,160,99,102,-,-,-
S01008925,271,271,-,-,271,266,1,4,3,98,31,138,1,-,-
S01008926,245,245,-,-,245,242,1,2,11,149,17,68,-,-,-
S01008927,475,475,-,-,475,416,-,59,-,4,6,462,3,-,-
S01008928,301,301,-,-,301,298,-,3,9,68,50,173,1,-,-
S01008929,480,480,-,-,480,475,3,2,5,5,10,452,6,2,-
S01008930,439,439,-,-,439,427,1,11,5,48,48,333,1,4,-
S01008931,343,343,-,-,343,339,-,4,12,53,72,206,-,-,-
S01008932,413,413,-,-,413,404,1,8,4,28,56,322,3,-,-
S01008933,291,291,-,-,291,289,-,2,4,54,62,169,1,1,-
S01008934,361,359,1,1,364,354,1,9,49,77,45,192,1,-,-
S01008935,383,383,-,-,383,377,1,5,45,225,16,96,1,-,-
S01008936,160,160,-,-,160,157,-,3,88,43,5,24,-,-,-
S01008937,428,428,-,-,428,424,1,3,56,51,47,252,13,9,-
S01008938,290,290,-,-,290,285,-,5,85,157,8,37,1,2,-
S01008939,323,323,-,-,323,323,-,-,35,186,43,57,1,1,-
S01008940,261,261,-,-,261,255,3,3,104,74,32,45,6,-,-
S01008941,406,406,-,-,406,350,7,49,167,35,66,129,8,1,-
S01008942,349,349,-,-,349,333,7,9,100,27,87,131,4,-,-
S01008943,355,355,-,-,355,340,10,5,206,28,57,64,-,-,-
S01008944,444,444,-,-,444,429,5,10,209,23,63,145,3,1,-
S01008945,301,301,-,-,301,299,1,1,185,41,67,7,1,-,-
S01008946,409,409,-,-,409,397,1,11,220,24,19,136,9,1,-
S01008947,463,463,-,-,463,449,1,13,239,98,11,115,-,-,-
S01008948,293,293,-,-,293,285,-,8,99,78,33,81,2,-,-
S01008949,399,399,-,-,399,393,-,6,6,181,173,34,2,3,-
S01008950,423,423,-,-,423,420,-,3,18,207,151,47,-,-,-
S01008951,446,446,-,-,446,435,3,8,12,49,66,318,1,-,-
S01008952,433,433,-,-,433,421,-,12,9,17,14,391,2,-,-
S01008953,434,434,-,-,434,424,-,10,21,112,131,166,4,-,-
S01008954,444,444,-,-,444,434,-,10,8,108,133,193,2,-,-
S01008955,293,293,-,-,293,282,2,9,49,92,82,69,1,-,-
S01008956,410,410,-,-,410,406,-,4,61,74,207,66,2,-,-
S01008957,436,436,-,-,436,429,1,6,65,65,167,138,1,-,-
S01008958,414,414,-,-,414,404,1,9,23,32,113,233,12,1,-
S01008959,383,383,-,-,383,380,-,3,16,72,185,109,-,1,-
S01008960,332,332,-,-,332,328,-,4,159,23,47,100,3,-,-
S01008961,321,321,-,-,321,319,1,1,70,76,103,71,1,-,-
S01008962,280,280,-,-,280,275,1,4,73,158,6,42,1,-,-
S01008963,356,356,-,-,356,349,2,5,160,132,13,50,-,1,-
S01008964,215,215,-,-,215,211,-,4,143,55,5,11,-,1,-
S01008965,329,329,-,-,329,321,2,6,255,43,18,13,-,-,-
S01008966,257,257,-,-,257,252,1,4,115,128,6,8,-,-,-
S01008967,440,440,-,-,440,430,1,9,232,146,43,18,1,-,-
S01008968,402,402,-,-,402,398,1,3,141,194,45,22,-,-,-
S01008969,466,466,-,-,466,460,-,6,104,172,66,118,5,-,1
S01008970,443,443,-,-,443,438,1,4,150,129,29,126,7,2,-
S01008971,274,274,-,-,274,273,-,1,109,100,24,33,7,1,-
S01008972,309,309,-,-,309,304,3,2,68,126,36,63,16,-,-
S01008973,371,371,-,-,371,361,6,4,20,72,99,161,18,1,-
S01008974,393,393,-,-,393,374,5,14,79,70,26,194,6,18,-
S01008975,458,458,-,-,458,449,4,5,18,46,70,312,8,4,-
S01008976,218,218,-,-,218,212,2,4,60,60,48,42,8,-,-
S01008977,260,260,-,-,260,256,1,3,101,63,57,39,-,-,-
S01008978,255,255,-,-,255,252,-,3,2,27,68,157,1,-,-
S01008979,313,313,-,-,313,308,-,5,2,24,14,269,3,1,-
S01008980,338,338,-,-,338,334,-,4,6,34,23,271,4,-,-
S01008981,322,322,-,-,322,316,1,5,48,111,122,36,3,2,-
S01008982,357,357,-,-,357,352,-,5,1,25,19,303,7,2,-
S01008983,328,328,-,-,328,314,-,14,1,2,17,307,1,-,-
S01008984,229,229,-,-,229,227,-,2,4,15,15,193,2,-,-
S01008985,332,332,-,-,332,326,-,6,4,51,111,162,2,2,-
S01008986,344,344,-,-,344,343,1,-,1,310,21,11,-,1,-
S01008987,331,331,-,-,331,330,-,1,2,311,5,8,2,3,-
S01008988,494,494,-,-,494,481,6,7,49,52,136,253,4,-,-
S01008989,327,327,-,-,327,323,1,3,5,33,155,132,1,1,-
S01008990,391,391,-,-,391,383,1,7,9,37,174,170,-,-,1
S01008991,390,390,-,-,390,381,3,6,80,147,94,69,-,-,-
S01008992,275,275,-,-,275,270,2,3,28,70,22,155,-,-,-
S01008993,508,508,-,-,508,476,5,27,149,124,70,161,2,2,-
S01008994,342,342,-,-,342,337,1,4,41,124,124,50,2,1,-
S01008995,356,356,-,-,356,352,1,3,140,142,15,39,15,1,4
S01008996,258,258,-,-,258,251,-,7,42,61,140,14,1,-,-
S01008997,417,417,-,-,417,411,-,6,127,107,149,29,3,2,-
S01008998,244,244,-,-,244,236,-,8,22,109,72,39,1,1,-
S01008999,424,424,-,-,424,411,-,13,92,107,108,107,7,3,-
S01009000,400,400,-,-,400,393,1,6,69,263,35,29,2,2,-
S01009001,326,326,-,-,326,323,-,3,176,112,9,29,-,-,-
S01009002,379,379,-,-,379,348,6,25,134,115,81,45,2,1,1
S01009003,406,406,-,-,406,394,6,6,174,64,80,57,30,1,-
S01009004,276,276,-,-,276,270,-,6,23,30,197,26,-,-,-
S01009005,331,331,-,-,331,327,1,3,17,40,212,60,2,-,-
S01009006,322,322,-,-,322,318,-,4,31,68,141,78,3,-,1
S01009007,298,298,-,-,298,290,-,8,4,55,197,40,2,-,-
S01009008,463,463,-,-,463,445,8,10,153,68,31,187,15,9,-
S01009009,265,265,-,-,265,252,2,11,7,12,25,213,8,-,-
S01009010,418,418,-,-,418,404,-,14,65,145,120,86,2,-,-
S01009011,320,320,-,-,320,319,1,-,136,125,52,6,-,1,-
S01009012,301,301,-,-,301,296,-,5,81,135,66,18,1,-,-
S01009013,368,368,-,-,368,363,1,4,100,87,150,24,7,-,-
S01009014,354,354,-,-,354,284,63,7,222,98,21,2,-,6,5
S01009015,379,379,-,-,379,303,62,14,317,55,4,1,1,1,-
S01009016,286,286,-,-,286,250,29,7,237,39,8,1,1,-,-
S01009017,315,315,-,-,315,278,17,20,193,74,18,23,4,1,2
S01009018,369,369,-,-,369,326,36,7,293,61,6,4,1,1,3
S01009019,227,227,-,-,227,221,4,2,152,43,23,6,3,-,-
S01009020,395,395,-,-,395,366,10,19,183,78,130,-,-,3,1
S01009021,419,419,-,-,419,344,69,6,357,49,1,3,1,1,7
S01009022,513,513,-,-,513,447,53,13,388,91,22,3,4,4,1
S01009023,525,525,-,-,525,435,81,9,442,67,13,2,-,1,-
S01009024,538,538,-,-,538,476,41,21,350,92,64,25,-,4,3
S01009025,511,511,-,-,511,433,43,35,438,65,3,2,-,2,1
S01009026,424,424,-,-,424,411,3,10,352,60,7,5,-,-,-
S01009027,465,465,-,-,465,373,83,9,410,47,3,1,1,1,2
S01009028,258,258,-,-,258,232,20,6,217,29,4,5,2,1,-
S01009029,313,313,-,-,313,286,19,8,253,42,9,3,2,2,2
S01009030,349,349,-,-,349,321,16,12,275,63,8,2,-,-,1
S01009031,373,373,-,-,373,356,9,8,282,70,10,8,-,-,3
S01009032,334,334,-,-,334,299,31,4,308,24,-,-,2,-,-
S01009033,397,397,-,-,397,359,35,3,365,26,5,1,-,-,-
S01009034,311,311,-,-,311,283,20,8,281,22,7,-,1,-,-
S01009035,392,392,-,-,392,381,5,6,325,62,3,1,-,1,-
S01009036,450,450,-,-,450,437,5,8,303,113,29,4,-,-,1
S01009037,417,417,-,-,417,367,5,45,305,103,3,2,1,-,3
S01009038,477,477,-,-,477,440,9,28,308,140,18,5,-,-,6
S01009039,325,325,-,-,325,313,1,11,70,81,126,44,3,1,-
S01009040,351,351,-,-,351,338,3,10,26,80,132,93,12,8,-
S01009041,534,534,-,-,534,503,8,23,103,120,46,218,26,19,2
S01009042,407,407,-,-,407,401,2,4,113,161,21,109,3,-,-
S01009043,303,303,-,-,303,293,3,7,90,66,95,52,-,-,-
S01009044,430,430,-,-,430,412,2,16,70,141,137,70,3,2,7
S01009045,303,303,-,-,303,287,8,8,127,72,85,17,2,-,-
S01009046,382,382,-,-,382,363,5,14,290,60,30,2,-,-,-
S01009047,353,353,-,-,353,336,7,10,275,74,3,-,-,1,-
S01009048,376,376,-,-,376,348,15,13,345,30,1,-,-,-,-
S01009049,302,302,-,-,302,274,16,12,255,22,23,1,-,-,1
S01009050,381,381,-,-,381,370,4,7,104,97,70,98,10,-,2
S01009051,299,299,-,-,299,292,4,3,69,86,117,27,-,-,-
S01009052,308,308,-,-,308,305,-,3,97,68,74,57,5,6,1
S01009053,298,298,-,-,298,259,20,19,9,38,34,212,5,-,-
S01009054,252,252,-,-,252,249,-,3,8,104,135,5,-,-,-
S01009055,374,374,-,-,374,361,2,11,172,73,77,41,8,-,3
S01009056,221,221,-,-,221,217,-,4,17,90,69,37,8,-,-
S01009057,288,288,-,-,288,282,1,5,18,19,35,202,11,3,-
S01009058,389,389,-,-,389,385,-,4,29,69,149,134,3,5,-
S01009059,367,367,-,-,367,347,-,20,138,66,79,78,5,1,-
S01009060,195,195,-,-,195,188,2,5,165,7,6,3,-,-,14
S01009061,335,335,-,-,335,326,-,9,5,49,262,18,1,-,-
S01009062,303,303,-,-,303,298,-,5,11,91,141,60,-,-,-
S01009063,307,307,-,-,307,291,-,16,109,64,128,6,-,-,-
S01009064,269,269,-,-,269,264,-,5,9,40,168,52,-,-,-
S01009065,353,353,-,-,353,328,13,12,12,81,43,215,2,-,-
S01009066,330,330,-,-,330,319,-,11,22,83,178,47,-,-,-
S01009067,306,306,-,-,306,302,-,4,196,91,12,5,1,1,-
S01009068,398,398,-,-,398,386,-,12,38,174,142,43,-,1,-
S01009069,253,253,-,-,253,249,-,4,128,102,16,7,-,-,-
S01009070,271,271,-,-,271,269,-,2,79,83,49,58,2,-,-
S01009071,235,235,-,-,235,228,3,4,62,55,89,26,-,1,2
S01009072,209,209,-,-,209,199,-,10,109,34,48,17,1,-,-
S01009073,258,258,-,-,258,251,2,5,25,91,114,26,-,2,-
S01009074,294,294,-,-,294,290,-,4,15,99,165,15,-,-,-
S01009075,238,238,-,-,238,233,1,4,76,40,103,17,1,-,1
S01009076,385,385,-,-,385,381,-,4,42,162,49,132,-,-,-
S01009077,270,270,-,-,270,259,-,11,68,123,23,53,2,-,1
S01009078,273,273,-,-,273,271,-,2,178,79,11,5,-,-,-
S01009079,401,401,-,-,401,388,-,13,36,79,182,97,2,5,-
S01009080,438,438,-,-,438,430,1,7,40,153,208,37,-,-,-
S01009081,320,320,-,-,320,311,-,9,65,117,121,17,-,-,-
S01009082,435,435,-,-,435,426,-,9,49,151,161,68,1,5,-
S01009083,353,353,-,-,353,349,-,4,87,104,60,100,-,1,1
S01009084,184,184,-,-,184,177,2,5,114,28,3,36,-,-,3
S01009085,285,285,-,-,285,280,-,5,151,123,4,7,-,-,-
S01009086,308,308,-,-,308,305,-,3,75,119,15,97,2,-,-
S01009087,252,252,-,-,252,247,-,5,62,71,69,50,-,-,-
S01009088,395,395,-,-,395,385,2,8,196,136,37,21,-,2,3
S01009089,332,332,-,-,332,325,-,7,265,53,6,7,-,1,-
S01009090,346,346,-,-,346,333,3,10,123,20,74,128,1,-,-
S01009091,225,225,-,-,225,223,-,2,194,8,5,18,-,-,-
S01009092,488,488,-,-,488,482,-,6,83,165,128,109,1,2,-
S01009093,350,350,-,-,350,343,-,7,19,113,116,101,-,1,-
S01009094,294,294,-,-,294,290,-,4,154,131,6,3,-,-,-
S01009095,369,369,-,-,369,360,1,8,97,107,16,134,8,7,-
S01009096,393,393,-,-,393,384,-,9,195,51,33,111,2,1,-
S01009097,347,347,-,-,347,347,-,-,185,116,17,28,1,-,-
S01009098,191,191,-,-,191,190,-,1,110,62,13,2,3,1,-
S01009099,394,394,-,-,394,384,-,10,28,161,53,129,19,4,-
S01009100,408,408,-,-,408,397,-,11,17,103,105,157,14,12,-
S01009101,382,382,-,-,382,369,-,13,11,161,174,34,2,-,-
S01009102,328,328,-,-,328,317,-,11,20,197,66,45,-,-,-
S01009103,249,249,-,-,249,246,-,3,118,96,15,20,-,-,-
S01009104,360,360,-,-,360,352,1,7,64,82,102,109,1,2,-
S01009105,346,346,-,-,346,337,-,9,50,149,79,65,2,1,-
S01009106,267,267,-,-,267,264,-,3,10,43,172,40,2,-,-
S01009107,336,336,-,-,336,333,1,2,118,102,96,15,5,-,-
S01009108,318,318,-,-,318,313,-,5,86,152,10,70,-,-,-
S01009109,266,266,-,-,266,263,-,3,139,94,31,2,-,-,-
S01009110,275,275,-,-,275,263,-,12,6,114,137,17,-,1,-
S01009111,381,381,-,-,381,372,1,8,96,137,103,43,2,-,-
S01009112,241,241,-,-,241,238,-,3,83,146,11,1,-,-,-
S01009113,385,385,-,-,385,381,1,3,201,125,9,49,1,-,-
S01009114,304,304,-,-,304,303,-,1,80,121,62,37,4,-,-
S01009115,268,268,-,-,268,259,-,9,79,50,26,113,-,-,-
S01009116,192,192,-,-,192,191,-,1,68,94,4,26,-,-,-
S01009117,402,402,-,-,402,391,-,11,41,131,93,136,-,1,-
S01009118,219,219,-,-,219,215,-,4,87,93,38,1,-,-,-
S01009119,300,300,-,-,300,297,-,3,7,177,91,21,4,-,-
S01009120,235,235,-,-,235,233,-,2,18,47,115,55,-,-,-
S01009121,387,387,-,-,387,380,-,7,21,62,78,223,2,1,-
S01009122,432,432,-,-,432,417,9,6,140,99,100,86,5,1,1
S01009123,218,218,-,-,218,215,1,2,118,36,52,9,1,2,-
S01009124,220,220,-,-,220,217,-,3,80,78,54,5,2,1,-
S01009125,303,303,-,-,303,301,-,2,90,112,43,56,1,1,-
S01009126,324,324,-,-,324,281,36,7,15,34,81,191,-,3,-
S01009127,297,297,-,-,297,269,21,7,14,56,123,102,2,-,-
S01009128,488,488,-,-,488,467,1,20,15,51,18,400,3,1,-
S01009129,215,215,-,-,215,205,1,9,4,65,10,132,2,2,-
S01009130,279,279,-,-,279,271,3,5,68,53,48,110,-,-,-
S01009131,270,270,-,-,270,260,4,6,7,55,8,191,3,5,1
S01009132,335,335,-,-,335,329,-,6,128,74,46,86,-,1,-
S01009133,315,315,-,-,315,301,11,3,6,44,7,254,1,3,-
S01009134,419,419,-,-,419,409,6,4,21,239,9,144,4,1,1
S01009135,267,267,-,-,267,264,2,1,49,70,26,117,4,1,-
S01009136,289,289,-,-,289,275,-,14,153,15,11,106,3,1,-
S01009137,205,205,-,-,205,203,-,2,188,8,2,6,1,-,-
S01009138,405,405,-,-,405,395,-,10,36,164,101,79,18,7,-
S01009139,281,281,-,-,281,239,27,15,15,19,17,230,-,-,-
S01009140,395,395,-,-,395,381,-,14,10,65,62,226,6,26,-
S01009141,508,508,-,-,508,473,5,30,8,92,46,334,10,18,-
S01009142,493,493,-,-,493,393,40,60,15,33,51,384,8,2,-
S01009143,331,331,-,-,331,312,1,18,6,39,17,266,3,-,-
S01009144,324,324,-,-,324,306,-,18,84,53,64,123,-,-,-
S01009145,500,500,-,-,500,497,1,2,34,97,158,210,-,1,-
S01009146,427,427,-,-,427,417,1,9,9,127,24,267,-,-,-
S01009147,362,362,-,-,362,353,-,9,5,106,75,176,-,-,-
S01009148,263,263,-,-,263,260,-,3,9,113,99,42,-,-,-
S01009149,401,401,-,-,401,384,2,15,99,89,4,197,7,5,-
S01009150,590,590,-,-,590,574,-,16,7,9,4,570,-,-,-
S01009151,489,489,-,-,489,474,2,13,24,122,30,291,18,4,-
S01009152,482,482,-,-,482,462,1,19,18,11,22,417,6,8,-
S01009153,288,288,-,-,288,266,2,20,11,45,9,163,13,46,1
S01009154,461,461,-,-,461,438,1,22,131,114,4,182,24,6,-
S01009155,244,244,-,-,244,234,-,10,49,92,7,81,13,2,-
S01009156,266,266,-,-,266,247,3,16,147,54,22,36,5,2,-
S01009157,374,374,-,-,374,366,1,7,28,137,182,27,-,-,-
S01009158,287,287,-,-,287,277,-,10,10,54,120,101,2,-,-
S01009159,261,261,-,-,261,250,-,11,7,40,48,165,1,-,-
S01009160,347,347,-,-,347,327,1,19,21,82,23,214,4,3,-
S01009161,370,370,-,-,370,349,11,10,8,25,54,279,-,4,-
S01009162,463,463,-,-,463,436,22,5,14,61,22,354,6,6,-
S01009163,250,250,-,-,250,233,10,7,24,72,17,137,-,-,-
S01009164,318,318,-,-,318,307,-,11,8,94,211,4,1,-,-
S01009165,332,332,-,-,332,324,1,7,4,77,117,131,2,1,-
S01009166,407,407,-,-,407,399,-,8,10,116,84,196,1,-,-
S01009167,204,204,-,-,204,198,1,5,5,78,96,24,-,1,-
S01009168,306,306,-,-,306,297,-,9,122,99,43,41,1,-,-
S01009169,427,427,-,-,427,420,1,6,31,53,84,258,1,-,-
S01009170,309,309,-,-,309,282,11,16,10,44,211,42,2,-,-
S01009171,328,328,-,-,328,297,20,11,26,31,153,116,2,-,-
S01009172,296,296,-,-,296,288,-,8,113,115,2,62,3,1,-
S01009173,315,315,-,-,315,309,-,6,145,103,50,16,1,-,-
S01009174,162,162,-,-,162,162,-,-,133,20,1,7,1,-,-
S01009175,306,306,-,-,306,300,1,5,224,69,9,3,1,-,-
S01009176,403,403,-,-,403,400,2,1,279,107,11,4,1,1,-
S01009177,371,371,-,-,371,367,-,4,24,72,186,88,1,-,-
S01009178,326,326,-,-,326,320,-,6,17,53,166,90,-,-,-
S01009179,285,285,-,-,285,273,9,3,10,34,220,20,1,-,-
S01009180,447,447,-,-,447,437,-,10,7,96,200,144,-,-,-
S01009181,362,362,-,-,362,361,1,-,60,167,86,47,1,1,-
S01009182,422,422,-,-,422,419,1,2,159,147,87,28,1,-,-
S01009183,267,267,-,-,267,267,-,-,192,47,19,9,-,-,-
S01009184,399,399,-,-,399,376,-,23,104,90,113,82,2,7,1
S01009185,372,372,-,-,372,354,-,18,89,150,102,31,-,-,-
S01009186,319,319,-,-,319,312,-,7,103,91,74,49,-,-,2
S01009187,220,220,-,-,220,215,1,4,129,45,31,7,4,1,3
S01009188,403,403,-,-,403,383,1,19,131,124,87,55,4,1,1
S01009189,342,342,-,-,342,336,-,6,27,153,56,106,-,-,-
S01009190,320,320,-,-,320,309,-,11,173,76,55,10,4,2,-
S01009191,232,232,-,-,232,229,2,1,192,23,15,1,-,1,-
S01009192,262,262,-,-,262,258,-,4,56,106,78,21,-,-,1
S01009193,130,130,-,-,130,127,-,3,63,33,30,4,-,-,-
S01009194,327,326,1,-,328,323,-,5,234,81,6,5,2,-,-
S01009195,359,359,-,-,359,353,-,6,101,129,80,45,4,-,-
S01009196,300,300,-,-,300,298,-,2,40,161,45,50,-,4,-
S01009197,413,413,-,-,413,401,-,12,230,91,68,19,5,-,-
S01009198,311,311,-,-,311,306,-,5,133,98,17,58,5,-,-
S01009199,250,250,-,-,250,248,-,2,116,89,33,11,1,-,-
S01009200,458,458,-,-,458,439,-,19,325,69,14,50,-,-,-
S01009201,275,275,-,-,275,268,-,7,31,70,117,53,4,-,-
S01009202,192,192,-,-,192,190,-,2,140,34,13,5,-,-,-
S01009203,275,275,-,-,275,269,-,6,19,106,89,61,-,-,-
S01009204,347,347,-,-,347,343,-,4,82,157,85,21,2,-,-
S01009205,315,315,-,-,315,307,-,8,39,149,27,100,-,-,-
S01009206,367,367,-,-,367,362,-,5,122,122,30,91,2,-,-
S01009207,380,380,-,-,380,375,-,5,169,125,26,58,2,-,-
